iter	Passed	Remaining
0	144	144654
1	152	75920
2	159	52906
3	166	41475
4	174	34687
5	181	30073
6	189	26947
7	197	24444
8	205	22633
9	213	21093
10	222	20003
11	229	18934
12	240	18237
13	248	17509
14	257	16902
15	266	16383
16	274	15876
17	283	15488
18	291	15036
19	301	14773
20	309	14427
21	319	14219
22	328	13947
23	338	13774
24	348	13598
25	355	13329
26	364	13134
27	370	12877
28	379	12712
29	386	12491
30	395	12354
31	401	12153
32	409	12001
33	416	11832
34	424	11701
35	431	11558
36	439	11432
37	447	11320
38	454	11190
39	462	11104
40	470	11010
41	495	11308
42	507	11305
43	516	11221
44	526	11163
45	533	11061
46	542	10998
47	548	10880
48	556	10804
49	563	10699
50	569	10605
51	577	10537
52	584	10439
53	592	10383
54	599	10294
55	608	10249
56	615	10178
57	623	10133
58	630	10048
59	639	10020
60	646	9955
61	656	9927
62	662	9850
63	670	9813
64	677	9751
65	687	9734
66	695	9682
67	705	9665
68	712	9615
69	721	9588
70	728	9533
71	737	9507
72	744	9457
73	753	9430
74	760	9383
75	770	9363
76	777	9321
77	786	9298
78	794	9263
79	801	9222
80	807	9166
81	817	9151
82	823	9102
83	832	9083
84	840	9046
85	849	9026
86	855	8978
87	864	8958
88	871	8921
89	880	8898
90	887	8863
91	895	8843
92	903	8808
93	911	8781
94	918	8745
95	926	8725
96	932	8683
97	940	8656
98	947	8619
99	953	8582
100	962	8567
101	969	8535
102	978	8525
103	985	8494
104	994	8475
105	1000	8439
106	1009	8420
107	1016	8391
108	1024	8373
109	1030	8336
110	1038	8319
111	1044	8285
112	1052	8265
113	1059	8235
114	1066	8204
115	1074	8189
116	1081	8159
117	1089	8145
118	1097	8122
119	1106	8114
120	1113	8091
121	1122	8079
122	1129	8054
123	1137	8038
124	1144	8011
125	1152	7993
126	1159	7972
127	1167	7955
128	1173	7925
129	1180	7902
130	1188	7886
131	1195	7859
132	1203	7846
133	1209	7817
134	1218	7804
135	1224	7780
136	1233	7767
137	1239	7740
138	1246	7723
139	1253	7699
140	1260	7682
141	1268	7665
142	1275	7641
143	1283	7631
144	1289	7605
145	1314	7691
146	1325	7691
147	1337	7701
148	1347	7696
149	1355	7678
150	1364	7670
151	1371	7652
152	1379	7637
153	1386	7616
154	1394	7604
155	1401	7580
156	1408	7563
157	1414	7539
158	1421	7518
159	1429	7505
160	1435	7482
161	1445	7474
162	1451	7455
163	1460	7443
164	1467	7427
165	1476	7415
166	1483	7398
167	1492	7391
168	1498	7370
169	1507	7359
170	1514	7342
171	1523	7334
172	1530	7314
173	1539	7307
174	1546	7292
175	1555	7282
176	1562	7264
177	1570	7253
178	1577	7234
179	1584	7216
180	1591	7201
181	1598	7185
182	1607	7178
183	1614	7159
184	1622	7147
185	1628	7127
186	1637	7120
187	1644	7103
188	1654	7099
189	1661	7085
190	1670	7074
191	1677	7060
192	1686	7050
193	1692	7032
194	1702	7027
195	1709	7012
196	1718	7003
197	1724	6986
198	1732	6975
199	1739	6958
200	1747	6948
201	1754	6932
202	1763	6924
203	1770	6909
204	1778	6898
205	1786	6885
206	1794	6873
207	1801	6861
208	1810	6853
209	1817	6836
210	1824	6822
211	1833	6814
212	1842	6808
213	1850	6796
214	1858	6785
215	1865	6770
216	1873	6760
217	1881	6748
218	1887	6731
219	1896	6723
220	1902	6707
221	1911	6697
222	1918	6684
223	1926	6674
224	1933	6659
225	1941	6650
226	1948	6633
227	1956	6625
228	1963	6609
229	1969	6593
230	1976	6580
231	1983	6567
232	1991	6556
233	1998	6541
234	2006	6531
235	2012	6516
236	2021	6507
237	2028	6494
238	2036	6485
239	2043	6471
240	2051	6461
241	2057	6446
242	2063	6429
243	2072	6421
244	2078	6406
245	2087	6398
246	2093	6383
247	2101	6373
248	2108	6360
249	2117	6352
250	2123	6336
251	2129	6322
252	2138	6313
253	2145	6300
254	2153	6291
255	2160	6280
256	2169	6271
257	2175	6256
258	2184	6250
259	2190	6235
260	2199	6228
261	2207	6216
262	2215	6208
263	2222	6195
264	2230	6187
265	2237	6172
266	2244	6162
267	2251	6149
268	2258	6136
269	2266	6127
270	2272	6113
271	2281	6105
272	2287	6092
273	2296	6084
274	2302	6070
275	2312	6064
276	2318	6050
277	2325	6039
278	2332	6027
279	2339	6016
280	2347	6005
281	2354	5994
282	2362	5985
283	2368	5970
284	2376	5962
285	2383	5950
286	2391	5941
287	2397	5928
288	2406	5919
289	2412	5906
290	2418	5893
291	2427	5885
292	2434	5873
293	2443	5867
294	2450	5855
295	2458	5847
296	2465	5836
297	2474	5828
298	2480	5815
299	2488	5805
300	2495	5794
301	2503	5785
302	2509	5771
303	2517	5763
304	2524	5752
305	2531	5740
306	2539	5732
307	2546	5720
308	2554	5712
309	2561	5702
310	2570	5693
311	2576	5680
312	2584	5672
313	2591	5661
314	2599	5653
315	2605	5640
316	2616	5636
317	2623	5627
318	2632	5618
319	2638	5607
320	2648	5601
321	2655	5591
322	2663	5582
323	2670	5570
324	2677	5560
325	2686	5554
326	2695	5546
327	2702	5537
328	2709	5526
329	2718	5518
330	2724	5507
331	2733	5499
